Name;Age;Class;
ABBOTT, Mrs Rhoda Mary 'Rosa' ;39 ;3rd Class Passenger ;
R. Abbott
ABELSETH, Miss Karen Marie ;16 ;3rd Class Passenger ;
ABELSETH, Mr Olaus Jørgensen ;25 ;3rd Class Passenger ;
O. Abelseth
ABELSON, Mrs Hannah ;28 ;2nd Class Passenger ;
ABī-AL-MUNà, Mr Nāsīf Qāsim ;27 ;3rd Class Passenger ;
ABRAHAMSSON, Mr Abraham August Johannes ;19 ;3rd Class Passenger ;
AKS, Master Philip ;10 m ;3rd Class Passenger ;
P. Aks
AKS, Mrs Leah ;21 ;3rd Class Passenger ;
L. Aks
AL ZA INNī, Mr Fahīm Rūhānā ;25 ;3rd Class Passenger ;
F. al Za innī
ALLEN, Mr Ernest Frederick ;24 ;Engineering Crew ;
E. Allen
ALLEN, Miss Elisabeth Walton ;29 ;1st Class Passenger ;
E. Allen
ALLISON, Master Hudson Trevor ;11 m ;1st Class Passenger ;
H. Allison
ANDERSEN-JENSEN, Miss Carla Christine Nielsine ;19 ;3rd Class Passenger ;
ANDERSON, Mr Henry ;42 ;1st Class Passenger ;
H. Anderson
ANDERSON, Mr John ;42 ;Deck Crew ;
ANDERSSON, Miss Erna Alexandra ;16 ;3rd Class Passenger ;
ANDREWS, Miss Kornelia Theodosia ;62 ;1st Class Passenger ;
ANDREWS, Mr Charles Edward ;19 ;Victualling Crew ;
C. Andrews
ANGLE, Mrs Florence Agnes ;36 ;2nd Class Passenger ;
APPLETON, Mrs Charlotte ;53 ;1st Class Passenger ;
C. Appleton
ARCHER, Mr Ernest Edward ;35 ;Deck Crew ;
E. Archer
ASPLUND, Mr Johan Charles ;13 ;3rd Class Passenger ;
ASPLUND, Master Edvin Rojj Felix ;3 ;3rd Class Passenger ;
E. Asplund
ASPLUND, Miss Lillian Gertrud ;5 ;3rd Class Passenger ;
L. Asplund
ASPLUND, Mrs Selma Augusta Emilia ;38 ;3rd Class Passenger ;
S. Asplund
ASSAF, Mrs Mariana ;45 ;3rd Class Passenger ;
ASTOR, Mrs Madeleine Talmage ;18 ;1st Class Passenger ;
M. Astor
AUBART, Mme. Léontine Pauline ;24 ;1st Class Passenger ;
L. Aubart
AVERY, Mr James Albert ;21 ;Engineering Crew ;
AYYūB-DāHIR, Miss Bannūrah ;15 ;3rd Class Passenger ;
B. Ayyūb-Dāhir
BACKSTRöM, Mrs Maria Mathilda ;33 ;3rd Class Passenger ;
BACLINI, Mrs Latifa ;23 ;3rd Class Passenger ;
BACLINI, Miss Helene Barbara ;9 m ;3rd Class Passenger ;
BACLINI, Miss Eugenie ;3 ;3rd Class Passenger ;
BACLINI, Miss Marie Catherine ;5 ;3rd Class Passenger ;
BADMAN, Miss Emily Louisa ;18 ;3rd Class Passenger ;
E. Badman
BAGGOTT, Mr Allen Marden ;28 ;Victualling Crew ;
A. Baggott
BAILEY, Mr Henry Joseph ;46 ;Deck Crew ;
H. Bailey
BALL, Mr Percy ;18 ;Victualling Crew ;
P. Ball
BALLS, Mrs Ada E. ;36 ;2nd Class Passenger ;
BANSKI, Mrs Mara ;31 ;3rd Class Passenger ;
BARBER, Miss Ellen Mary ;27 ;1st Class Passenger
Servant ;
BARKWORTH, Mr Algernon Henry ;47 ;1st Class Passenger ;
A. Barkworth
BARRETT, Mr Frederick ;28 ;Engineering Crew ;
F. Barrett
BASSANI, Mrs Albina ;31 ;1st Class Passenger
Servant ;
BAXTER, Mrs Hélène ;50 ;1st Class Passenger ;
H. Baxter
BEANE, Mrs Ethel ;22 ;2nd Class Passenger ;
E. Beane
BEANE, Mr Edward ;32 ;2nd Class Passenger ;
E. Beane
BEAUCHAMP, Mr George William ;24 ;Engineering Crew ;
G. Beauchamp
BECKER, Mrs Nellie E. ;35 ;2nd Class Passenger ;
BECKER, Miss Ruth Elizabeth ;12 ;2nd Class Passenger ;
BECKER, Master Richard F. ;1 ;2nd Class Passenger ;
BECKER, Miss Marion Louise ;4 ;2nd Class Passenger ;
BECKWITH, Mr Richard Leonard ;37 ;1st Class Passenger ;
R. Beckwith
BECKWITH, Mrs Sarah Maybell ;46 ;1st Class Passenger ;
S. Beckwith
BEESLEY, Mr Lawrence ;34 ;2nd Class Passenger ;
L. Beesley
BEHR, Mr Karl Howell ;26 ;1st Class Passenger ;
K. Behr
BENNETT, Mrs Mabel ;33 ;Victualling Crew ;
BENTHAM, Miss Lillian W. ;19 ;2nd Class Passenger ;
BESSETTE, Miss Nellie Mayo ;39 ;1st Class Passenger
Servant ;
BIDOIS, Miss Rosalie ;46 ;1st Class Passenger
Servant ;
BING, Mr Lee ;32 ;3rd Class Passenger ;
BINSTEAD, Mr Walter William ;20 ;Engineering Crew ;
W. Binstead
BIRD, Miss Ellen ;31 ;1st Class Passenger
Servant ;
BISHOP, Mrs Helen ;19 ;1st Class Passenger ;
H. Bishop
BISHOP, Mr Dickinson H. ;25 ;1st Class Passenger ;
D. Bishop
BJöRNSTRöM-STEFFANSSON, Mr Mauritz Håkan ;28 ;1st Class Passenger ;
M. Björnström-Steffansson
BLAKE, Mr Percival Albert ;23 ;Engineering Crew ;
BLANK, Mr Henry ;39 ;1st Class Passenger ;
H. Blank
BLISS, Mrs Emma ;45 ;Victualling Crew ;
BONNELL, Miss Elizabeth ;61 ;1st Class Passenger ;
E. Bonnell
BONNELL, Miss Caroline ;30 ;1st Class Passenger ;
C. Bonnell
BOWEN, Miss Grace Scott ;45 ;1st Class Passenger
Servant ;
BOWERMAN, Miss Elsie Edith ;22 ;1st Class Passenger ;
E. Bowerman
BOWKER, Miss Ruth Harwood ;31 ;Restaurant Staff ;
BOXHALL, Mr Joseph Groves ;28 ;Deck Crew
Titanic Officers ;
J. Boxhall
BRADLEY, Miss Bridget Delia ;22 ;3rd Class Passenger ;
B. Bradley
BRERETON, Mr George Andrew ;37 ;1st Class Passenger ;
G. Brereton
BRICE, Mr Walter Thomas ;42 ;Deck Crew ;
BRIDE, Mr Harold Sydney ;22 ;Victualling Crew ;
H. Bride
BRIGHT, Mr Arthur John ;42 ;Deck Crew ;
A. Bright
BROWN, Mrs Elizabeth Catherine ;40 ;2nd Class Passenger ;
BROWN, Miss Amelia Mary ;18 ;2nd Class Passenger
Servant ;
A. Brown
BROWN, Mrs Margaret ;44 ;1st Class Passenger ;
M. Brown
BROWN, Mrs Caroline Lane ;59 ;1st Class Passenger ;
C. Brown
BROWN, Miss Edith Eileen ;15 ;2nd Class Passenger ;
BROWN, Mr Edward ;34 ;Victualling Crew ;
E. Brown
BRYHL, Miss Dagmar Jenny Ingeborg ;20 ;2nd Class Passenger ;
D. Bryhl
BUCKLEY, Mr Daniel ;21 ;3rd Class Passenger ;
D. Buckley
BUCKNELL, Mrs Emma Eliza ;58 ;1st Class Passenger ;
E. Bucknell
BULEY, Mr Edward John ;26 ;Deck Crew ;
E. Buley
BURGESS, Mr Charles ;18 ;Victualling Crew ;
C. Burgess
BURKE, Mr William ;40 ;Victualling Crew ;
W. Burke
BURNS, Miss Elizabeth Margaret ;41 ;1st Class Passenger
Servant ;
E. Burns
BURRAGE, Mr Arthur Victor Edwards ;20 ;Victualling Crew ;
A. Burrage
BUSS, Miss Kate ;36 ;2nd Class Passenger ;
K. Buss
BYSTRöM, Mrs Karolina ;40 ;2nd Class Passenger ;
CALDERHEAD, Mr Edward Pennington ;42 ;1st Class Passenger ;
E. Calderhead
CALDWELL, Mrs Sylvia Mae ;28 ;2nd Class Passenger ;
S. Caldwell
CALDWELL, Mr Albert Francis ;26 ;2nd Class Passenger ;
A. Caldwell
CALDWELL, Master Alden Gates ;10 m ;2nd Class Passenger ;
A. Caldwell
CAMERON, Miss Clear Annie ;35 ;2nd Class Passenger ;
C. Cameron
CANDEE, Mrs Helen Churchill ;52 ;1st Class Passenger ;
H. Candee
CARDEZA, Mr Thomas Drake Martinez ;36 ;1st Class Passenger ;
T. Cardeza
CARDEZA, Mrs Charlotte Wardle ;58 ;1st Class Passenger ;
C. Cardeza
CARTER, Master William Thornton II ;11 ;1st Class Passenger ;
W. Carter
CARTER, Miss Lucile Polk ;13 ;1st Class Passenger ;
L. Carter
CARTER, Mrs Lucile ;36 ;1st Class Passenger ;
L. Carter
CARTER, Mr William Ernest ;36 ;1st Class Passenger ;
W. Carter
CASSEBEER, Mrs Eleanor Genevieve ;36 ;1st Class Passenger ;
E. Cassebeer
CATON, Miss Annie ;33 ;Victualling Crew ;
CAVELL, Mr George Henry ;22 ;Engineering Crew ;
G. Cavell
CAVENDISH, Mrs Julia Florence ;25 ;1st Class Passenger ;
J. Cavendish
CHAFFEE, Mrs Carrie Constance ;47 ;1st Class Passenger ;
C. Chaffee
CHAMBERS, Mrs Bertha ;32 ;1st Class Passenger ;
CHAMBERS, Mr Norman Campbell ;27 ;1st Class Passenger ;
N. Chambers
CHAPMAN, Mr Joseph Charles ;32 ;Victualling Crew ;
J. Chapman
CHAUDANSON, Miss Victorine ;36 ;1st Class Passenger
Servant ;
V. Chaudanson
CHERRY, Miss Gladys ;30 ;1st Class Passenger ;
G. Cherry
CHEVRé, Mr Paul Romaine Marie Léonce ;45 ;1st Class Passenger ;
P. Chevré
CHIBNALL, Mrs Edith Martha Bowerman ;48 ;1st Class Passenger ;
CHIP, Mr Chang ;32 ;3rd Class Passenger ;
CHRISTY, Miss Rachel Juli Cohen ;25 ;2nd Class Passenger ;
CHRISTY, Mrs Alice Frances ;52 ;2nd Class Passenger ;
CLARK, Mrs Virginia Estelle ;26 ;1st Class Passenger ;
V. Clark
CLARK, Mr William ;40 ;Engineering Crew ;
W. Clark
CLARKE, Mrs Ada Maria ;28 ;2nd Class Passenger ;
A. Clarke
CLEAVER, Miss Alice Catherine ;22 ;1st Class Passenger
Servant ;
A. Cleaver
CLENCH, Mr Frederick Charles ;33 ;Deck Crew ;
F. Clench
COHEN, Mr Gurshon ;18 ;3rd Class Passenger ;
COLGAN, Mr E. Joseph ;33 ;Victualling Crew ;
COLLETT, Mr Sidney Clarence Stuart ;25 ;2nd Class Passenger ;
S. Collett
COLLINS, Mr John ;17 ;Victualling Crew ;
J. Collins
COLLINS, Mr John ;38 ;Engineering Crew ;
J. Collins
COLLYER, Mrs Charlotte Caroline ;30 ;2nd Class Passenger ;
C. Collyer
COLLYER, Miss Marjorie Lottie ;8 ;2nd Class Passenger ;
M. Collyer
COMBES, Mr George ;34 ;Engineering Crew ;
COMPTON, Miss Sara Rebecca ;39 ;1st Class Passenger ;
S. Compton
COMPTON, Mrs Mary Eliza ;64 ;1st Class Passenger ;
CONNOLLY, Miss Catherine ;23 ;3rd Class Passenger ;
COOK, Mrs Selena ;22 ;2nd Class Passenger ;
S. Cook
CORNELL, Mrs Malvina Helen ;55 ;1st Class Passenger ;
M. Cornell
CORR, Miss Ellen ;16 ;3rd Class Passenger ;
COUPER, Mr Robert Frederick William ;30 ;Engineering Crew ;
R. Couper
COUTTS, Master William Loch ;9 ;3rd Class Passenger ;
W. Coutts
COUTTS, Mrs Winnie ;36 ;3rd Class Passenger ;
W. Coutts
COUTTS, Master Neville Leslie ;3 ;3rd Class Passenger ;
N. Coutts
CRAFTER, Mr Frederick Horace ;20 ;Victualling Crew ;
F. Crafter
CRAWFORD, Mr Alfred George ;43 ;Victualling Crew ;
CRIBB, Miss Laura Mae ;16 ;3rd Class Passenger ;
L. Cribb
CRIMMINS, Mr James ;21 ;Engineering Crew ;
J. Crimmins
CROSBY, Miss Harriette Rebecca ;39 ;1st Class Passenger ;
H. Crosby
CROSBY, Mrs Catherine Elizabeth ;64 ;1st Class Passenger ;
CROWE, Mr George Frederick ;30 ;Victualling Crew ;
CULLEN, Mr Charles James ;49 ;Victualling Crew ;
C. Cullen
CUMINGS, Mrs Florence Briggs ;35 ;1st Class Passenger ;
F. Cumings
CUNNINGHAM, Mr Andrew Orr ;38 ;Victualling Crew ;
DAHL, Mr Charles Edward ;45 ;3rd Class Passenger ;
DALY, Mr Eugene Patrick ;29 ;3rd Class Passenger ;
E. Daly
DALY, Miss Margaret Marcella ;33 ;3rd Class Passenger ;
M. Daly
DALY, Mr Peter Dennis ;51 ;1st Class Passenger ;
P. Daly
DANIEL, Mr Robert Williams ;27 ;1st Class Passenger ;
R. Daniel
DANIELS, Miss Sarah Rebecca ;36 ;1st Class Passenger
Servant ;
DANIELS, Mr Sidney Edward ;18 ;Victualling Crew ;
S. Daniels
DAVIDSON, Mrs Orian ;27 ;1st Class Passenger ;
O. Davidson
DAVIES, Master John Morgan jr ;8 ;2nd Class Passenger ;
DAVIES, Mrs Agnes ;48 ;2nd Class Passenger ;
DAVIS, Miss Mary Ann Charlotte ;28 ;2nd Class Passenger ;
DAVISON, Mrs Mary Elizabeth ;34 ;3rd Class Passenger ;
M. Davison
DE MESSEMAEKER, Mrs Anna ;36 ;3rd Class Passenger ;
DE MESSEMAEKER, Mr Guillaume Joseph ;36 ;3rd Class Passenger ;
DE MULDER, Mr Theodoor ;30 ;3rd Class Passenger ;
DEAN, Miss Elizabeth Gladys Millvina ;2 m ;3rd Class Passenger ;
E. Dean
DEAN, Master Bertram Vere ;1 ;3rd Class Passenger ;
DEAN, Mrs Eva Georgetta ;32 ;3rd Class Passenger ;
DEL CARLO, Mrs Argene ;24 ;2nd Class Passenger ;
A. Del Carlo
DEVANEY, Miss Margaret Delia ;19 ;3rd Class Passenger ;
M. Devaney
DIAPER, Mr John Joseph ;27 ;Engineering Crew ;
DICK, Mrs Vera ;17 ;1st Class Passenger ;
V. Dick
DICK, Mr Albert Adrian ;31 ;1st Class Passenger ;
A. Dick
DILLON, Mr Thomas Patrick ;33 ;Engineering Crew ;
T. Dillon
DODGE, Master Washington ;4 ;1st Class Passenger ;
W. Dodge
DODGE, Mrs Ruth ;34 ;1st Class Passenger ;
R. Dodge
DODGE, Dr Washington ;52 ;1st Class Passenger ;
W. Dodge
DOEL, Mr Frederick ;22 ;Engineering Crew ;
F. Doel
DOLING, Miss Elsie ;18 ;2nd Class Passenger ;
E. Doling
DOLING, Mrs Ada Julia Elizabeth ;34 ;2nd Class Passenger ;
A. Doling
DORE, Mr Albert James ;22 ;Engineering Crew ;
A. Dore
DORKING, Mr Edward Arthur ;18 ;3rd Class Passenger ;
DOUGLAS, Mrs Mary Hélène ;27 ;1st Class Passenger ;
M. Douglas
DOUGLAS, Mrs Mahala ;48 ;1st Class Passenger ;
M. Douglas
DOWDELL, Miss Elizabeth ;31 ;3rd Class Passenger ;
DREW, Master Marshall Brines ;8 ;2nd Class Passenger ;
DREW, Mrs Maria Louisa Thorne ;34 ;2nd Class Passenger ;
DRISCOLL, Miss Bridget ;27 ;3rd Class Passenger ;
DROPKIN, Miss Jennie ;24 ;3rd Class Passenger ;
J. Dropkin
DUFF GORDON, Lucy Christiana, Lady ;48 ;1st Class Passenger ;
L. Duff Gordon
DUFF GORDON, Sir Cosmo Edmund ;49 ;1st Class Passenger ;
C. Duff Gordon
DUQUEMIN, Mr Joseph Pierre ;24 ;3rd Class Passenger ;
J. Duquemin
DURáN I MONé, Sra. Asuncion ;27 ;2nd Class Passenger ;
DURáN I MONé, Sra. Florentina ;30 ;2nd Class Passenger ;
